ID,Codigo,Examen,Material
601,GHES,GH-STH - Somatotrofina - Prueba de estímulo,suero
602,GHIN,GH-STH - Somatotrofina - Prueba de inhibición con glucosa,suero
603,STH120,GH-STH - Somatotrofina 120 minutos,suero
604,STH150,GH-STH - Somatotrofina 150 minutos,suero
605,STH180,GH-STH - Somatotrofina 180 minutos,suero
606,STH30,GH-STH - Somatotrofina 30 minutos,suero
607,STH60,GH-STH - Somatotrofina 60 minutos,suero
608,STH90,GH-STH - Somatotrofina 90 minutos,suero
609,STH,GH-STH - Somatotrofina,suero
610,GLAE,GLAE - SHBG,suero
611,GAMCN,Glicosaminoglicanos cuantitativos,orina representativa de 24 h
612,GLIFO,Glifosato - AMPA,orina
613,AASS,Aminoacidos,sangre seca en papel filtro
614,CEPAR,Celula parietal Ac.,suero
615,PTOG,Glucosa - Prueba de Tolerancia Oral,suero
616,GLU120,Glucosa 120 minutos,suero
617,GLU180,Glucosa 180 minutos,suero
618,GLU240,Glucosa 240 minutos,suero
619,GLU30,Glucosa 30 minutos,suero
620,GLU60,Glucosa 60 minutos,suero
621,GLU90,Glucosa 90 minutos,suero
622,GLUAZAR,Glucosa al azar,suero
623,CTOG,Glucosa Curva de Tolerancia Oral,suero
624,GLUGEDOM,Glucosa gestacional domicilio,plasma fluoruro
625,GLUGES,Glucosa gestacional,suero
626,GLUPP,Glucosa posprandial,suero
627,GLU24,Glucosa,orina 24 h
628,GLUL,Glucosa,orina Litro
629,GLUO,Glucosa,orina
630,SACCERA,ASCA - Ac IgA,suero
631,GLU,Glucosa,suero
632,GPO,Glutation Peroxidasa - GPO,sangre heparina
633,LE,Celulas LE.,sangre desfibrinada
634,FOSACG,Acido Fosfatidico Ac.IgG,suero
635,FOSACM,Acido Fosfatidico Ac.IgM,suero
636,HCGB,Gonadotrofina corionica humana - hCGB,suero
637,HCGMT,Gonadotrofina corionica marcador tumoral,suero
638,SACCERG,ASCA - Ac. IgG,suero
639,ASTO,ASLO - Antiestreptolisina O,suero
640,GUACO,Acido Guanidinacetico,orina representativa de 24 h
641,ASMA,ASMA - Musculo liso Ac,suero
642,MVGC1AB,Gram y cultivo germenes comunes - muestra 1,absceso
643,MVGC1F,Gram y cultivo germenes comunes - muestra 1,fistula
644,MVGC1H,Gram y cultivo germenes comunes - muestra 1,herida
645,MVGC1,Gram y cultivo germenes comunes - muestra 1,otro material
646,MVGC2AB,Gram y cultivo germenes comunes - muestra 2,absceso
647,MVGC2AF,Gram y cultivo germenes comunes - muestra 2,fístula
648,MVGC2AH,Gram y cultivo germenes comunes - muestra 2,herida
649,MVGC2,Gram y cultivo germenes comunes - muestra 2,otro material
650,MVGC3O,Gram y cultivo germenes comunes - muestra 3,absceso
651,MVGC3F,Gram y cultivo germenes comunes - muestra 3,fístula
652,MVGC3H,Gram y cultivo germenes comunes - muestra 3,herida
653,MVGC3,Gram y cultivo germenes comunes - muestra 3,otro material
654,ASPEC,Aspecto suero,suero
655,ASAC,Aspergillus Ac.,suero
656,ASTO,ASTO - Antiestreptolisina O,suero
657,GRAMF,Grasas,materia fecal
658,GRUPO,Grupo sanguíneo,sangre EDTA
659,CD56,Celulas NK,sangre EDTA
660,CD16563,Celulas NK,sangre EDTA
661,HIBAGO,Haemophilus influenzae b Ag.,orina
662,HIBAG,Haemophilus influenzae b Ag.,suero
663,FXNAT,Ataxia de Friedreich,sangre EDTA
664,HALO,Haloperidol,suero
665,HAPTO,Haptoglobina,suero
666,HBA1C,HbA1c - Hemoglobina Glicada-Electroforesis capilar,sangre EDTA
667,HBA1C,HbA1c - Hemoglobina Glicosilada- Electroforesis capilar,sangre EDTA
668,HE4,HE4 - Proteína Epididimal Humana,suero
669,HPA,Helicobacter pylori Ac.IgA,suero
670,HPG,Helicobacter pylori Ac.IgG,suero
671,HPM,Helicobacter pylori Ac.IgM,suero
672,HPYAGMF,Helicobacter pylori Ag.,materia fecal
673,ALBO,Albumina,orina nocturna
674,HTO,Hematocrito,sangre EDTA
675,HEMOCH,Hemocromatosis - C282Y y H63D,sangre EDTA
676,HEMOS65,Hemocromatosis - S65C,sangre EDTA
677,PVEPECA,Hemocult automatiz tiempo diferencial vena periferica-cateter arterial,sangre
678,PVEPECVA,Hemocult automatiz. tiempo dif vena periferica-cateter venoso-arterial,sangre
679,PVEPECV,Hemocult automatiz. tiempo diferencial vena periferica-cateter venoso,sangre
680,ATBGC1H,Antibiograma cultivo germenes comunes 1,herida
681,HEMACUL1,Hemocultivo automatizado - muestra 1,sangre
682,HEMACUL2,Hemocultivo automatizado - muestra 2,sangre
683,HEMACUL3,Hemocultivo automatizado - muestra 3,sangre
684,HEMATDCV,Hemocultivo automatizado: tiempo diferencial-cateter venoso,sangre
685,HEMATDCA,Hemocultivo automatizado:tiempo diferencial-catéter arterial,sangre
686,ATBGC1,Antibiograma cultivo germenes comunes 1,otro material
687,HBA2,Hemoglobina A2,sangre EDTA
688,HBAR,Hemoglobina Alcali Resistente,sangre EDTA
689,HBELEC,Hemoglobina electroforesis,sangre EDTA
690,HBS,Hemoglobina S,sangre EDTA
691,HB,Hemoglobina,sangre EDTA
692,HPN,Hemoglobinuria Paroxistica Nocturna HPN - Citometria de Flujo,sangre EDTA
693,HEM,Hemograma,sangre EDTA
694,PIGG54,54 Alimentos Panel Ac.IgG,suero
695,ATBGC2A,Antibiograma cultivo germenes comunes 2,absceso
696,HAVG,Hepatitis A Ac.IgG,suero
697,HAVM,Hepatitis A Ac.IgM,suero
698,HAVT,Hepatitis A Ac.Totales,suero
699,HBVCM,Hepatitis B Ac.core IgM,suero
700,HBVCT,Hepatitis B Ac.core Total,suero
701,HBVE,Hepatitis B Ac.e,suero
702,HBVS,Hepatitis B Ac.superficie,suero
703,HBVAGS,Hepatitis B Ag. australiano - HBsAg,suero
704,HBVAGE,Hepatitis B Ag.e,suero
705,HBVAGS,Hepatitis B Ag.superficie,suero
706,HBVCV,Hepatitis B Carga Viral,plasma EDTA
707,HBVDNA,Hepatitis B-HBV DNA,plasma EDTA
708,HCVG,Hepatitis C Ac.IgG,suero
709,HCVCV,Hepatitis C Carga Viral,plasma EDTA
710,HCVGEN,Hepatitis C Genotipo,plasma EDTA
711,HCVLIA,Hepatitis C LIA,suero
712,HCVPCR,Hepatitis C PCR,plasma EDTA
713,HDVG,Hepatitis Delta Ac.,suero
714,HEPATO,Hepatograma,suero
715,CENTRO,Centromero Ac.,suero
716,HAPG,Hepatopatia Autoinmune Panel Ac.IgG,suero
717,ATBGC2F,Antibiograma cultivo germenes comunes 2,fistula
718,ALBOT,Albumina,otro material
719,HV6G,Herpes 6 Virus Ac.IgG,suero
720,HV6M,Herpes 6 Virus Ac.IgM,suero
721,HHV6DLB,Herpes Humano 6 Virus - HHV6 DNA,lavado bronqueoalveolar
722,HHV6DNAL,Herpes Humano 6 Virus - HHV6 DNA,LCR
723,HHV6DNAM,Herpes Humano 6 Virus - HHV6 DNA,medula osea
724,HHV6DNAO,Herpes Humano 6 Virus - HHV6 DNA,otro
725,HHV6DNAP,Herpes Humano 6 Virus - HHV6 DNA,plasma EDTA
726,HHV6DNA,Herpes Humano 6 Virus - HHV6 DNA,sangre EDTA
727,HSV1A,Herpes Simplex 1 Ac.IgA,suero
728,HSV1G,Herpes Simplex 1 Ac.IgG,suero
729,HSV1M,Herpes Simplex 1 Ac.IgM,suero
730,HSVPCRBT,Herpes Simplex 1 y 2 PCR - Tipificacion,biopsia de tejido
731,HSVPCRHL,Herpes Simplex 1 y 2 PCR - Tipificacion,hisopado de lesión
732,HSVPCRLB,Herpes Simplex 1 y 2 PCR - Tipificacion,lavado bronqueoalveolar
733,HSVPCRTL,Herpes Simplex 1 y 2 PCR - Tipificacion,LCR
734,HSVPCROT,Herpes Simplex 1 y 2 PCR - Tipificacion,otro material
735,HSVPCRT,Herpes Simplex 1 y 2 PCR - Tipificacion,sangre EDTA
736,HSV12PBJ,Herpes Simplex 1 y 2 PCR,biopsia de tejido
737,HSV12PHL,Herpes Simplex 1 y 2 PCR,hisopado de lesión
738,HSV12PLB,Herpes Simplex 1 y 2 PCR,lavado bronqueoalveolar
739,HSV12PCL,Herpes Simplex 1 y 2 PCR,LCR
740,HSV12PCO,Herpes Simplex 1 y 2 PCR,otro material
741,HSV12PCR,Herpes Simplex 1 y 2 PCR,sangre EDTA
742,HSV2A,Herpes Simplex 2 Ac.IgA,suero
743,HSV2G,Herpes Simplex 2 Ac.IgG,suero
744,HSV2M,Herpes Simplex 2 Ac.IgM,suero
745,CERU,Ceruloplasmina,suero
746,ATAXES,"Ataxias Espinocerebelosas tipo 1,2, 3, 6 y 7",sangre EDTA
747,AME,Atrofia Muscular Espinal (deleción homocigota),sangre EDTA
748,AMEVC,Atrofia Muscular Espinal(deleción homocigota),vellosidades corionicas
749,AMEB,Atrofia Muscular Espino Bulbar,sangre EDTA
750,VITD25,25 OH Vitamina D,suero
751,AA,Aminoacidos,suero
752,QTLARGO,Canalopatia - Sindrome QT largo,sangre EDTA
753,MICBA1,BAAR - directo,esputo
754,MICBA2,BAAR - directo,esputo
755,HCQ,Hidroxicloroquina,plasma EDTA
756,HPIR,Hidroxipireno,orina post jornada laboral
757,GUAC,Acido Guanidinacetico,suero
758,MICBA3,BAAR - directo,esputo
759,PMICCUL1,BAAR - directo y cultivo,esputo
760,HIPO,Acido Hipurico,orina post jornada laboral
761,PMICBUL3,BAAR - directo y cultivo,esputo
762,HIERRST,Hierro y Saturacion de Transferrina,suero
763,HIERR,Hierro,suero
764,CMT1A,Charcot-Marie-Tooth tipo 1A,sangre EDTA
765,HISUCO2,Hiperplasia Suprarrenal Congenita 2 personas,sangre EDTA
766,HISUCO3,Hiperplasia Suprarrenal Congenita 3 personas,sangre EDTA
767,HISUCO,Hiperplasia Suprarrenal Congenita- CYP21A2,sangre EDTA
768,PMICBUL2,BAAR - directo y cultivo,esputo
769,HIST,Histona Ac.,suero
770,CHIPCRO,Chikungunya virus PCR,orina
771,HCAP,Histoplasma capsulatum Ac.,suero
772,HIVAC,HIV Ac.,suero
773,HIVDNA,HIV DNA,sangre EDTA
774,HIVRA,HIV Resistencia a antirretrovirales,plasma EDTA
775,HIVRI,HIV Resistencia a Inhibidores de la Integrasa,plasma EDTA
776,HIVRNACV,HIV RNA Carga Viral,plasma EDTA
777,HIVRNA,HIV RNA,plasma EDTA
778,HIVSEMEN,HIV RNA,semen
779,HIVWB,HIV Western Blot,suero
780,HLAAIN,HLA - A,sangre EDTA
781,HLABIN,HLA - B,sangre EDTA
782,HLACIN,HLA - C,sangre EDTA
783,HLADPIN,HLA - DP,sangre EDTA
784,HLADQIN,HLA - DQ,sangre EDTA
785,HLADRCF,HLA - DR Citometria de Flujo,sangre EDTA
786,HLADRIN,HLA - DR,sangre EDTA
787,HLAB27,HLA B-27 Molecular,sangre EDTA
788,HLAB5701,HLA B5701,sangre EDTA
789,HLADQ28,HLA DQ2/8 Enfermedad Celíaca,sangre EDTA
790,HLAACE,HLA I y II Ac. Especificos,suero
791,HLAAC,HLA I y II Ac.,suero
792,HNMT,HNMT - Histamina N-metil-transferasa,sangre EDTA
793,HOMAD,HOMA (Homeostasis Model Assessment),Derivacion
794,PSMET,Homocisteina Prueba de sobrecarga con L-Metionina,plasma EDTA
795,HOMO,Homocisteina,plasma EDTA
796,DNAFDBI,Hongos - Deteccion DNA Fungico,biopsia de tejido
797,DNAFDCA,Hongos - Deteccion DNA Fungico,cepa fungica
798,DNAFDLCR,Hongos - Deteccion DNA Fungico,LCR
799,DNAFDLP,Hongos - Deteccion DNA Fungico,liquido pericardico
800,DNAFDLPL,Hongos - Deteccion DNA Fungico,liquido pleural
801,DNAFDLS,Hongos - Deteccion DNA Fungico,líquido sinovial
802,DNAFDO,Hongos - Deteccion DNA Fungico,orina
803,DNAFDOT,Hongos - Deteccion DNA Fungico,otro material
804,TIPIMOFU,Hongos - Secuenciacion ITS,producto de PCR
805,TIPIHO,Hongos - Tipificacion Fenotipica,cepa fungica
806,MICSISEP,Hongos cultivo esputo,esputo
807,MICSISD,Hongos directo esputo,esputo
808,HOMOG,Acido Homogentisico,orina
809,HVA24,Acido Homovanilico - HVA,orina 24 h
810,CARDIOFA,Canalopatia - Fibrilacion auricular,sangre EDTA
811,HVAL,Acido Homovanilico - HVA,orina
812,AMH,Hormona Antimulleriana - AMH,suero
813,ALB,Albumina,suero
814,HPVBJ,HPV- Papiloma Virus Humano - genotipos de alto riesgo,biopsia tejido
815,HTLVIII,HTLV-I/II Ac.,suero
816,HTLVPCRL,HTLV-I/II PCR,LCR
817,HTLVPCRO,HTLV-I/II PCR,otro material
818,HTLVPCR,HTLV-I/II PCR,sangre EDTA
819,HU,Hu (ANNA-1) Ac.,suero
820,LACLCR,Acido Lactico,LCR
821,BANTH,Bacillus anthracis,absceso
822,HYG,Hygrina - Cuscohygrina,orina
823,IA2,IA-2 Ac.,suero
824,IA2,ICA 512 AC.,suero
825,CHIPCRS,Chikungunya virus PCR,semen
826,CHIPCR,Chikungunya virus PCR,suero
827,ISPE,Identificacion serologica de patogenos entericos,cepa bacteriana
828,ISG,Identificacion serologica germen,cepa bacteriana
829,IDH12B,IDH1-IDH2 - Deteccion de mutaciones,biopsia
830,IDH12MO,IDH1-IDH2 - Deteccion de mutaciones,medula osea
831,IDH12SE,IDH1-IDH2 - Deteccion de mutaciones,sangre entera con EDTA
832,RAC,Albuminuria,orina
833,IGASAL,IgA - Inmunoglobulina A secretoria,suero
834,IGASAL,IgA - Inmunoglobulina A,saliva
835,IGA,IgA - Inmunoglobulina A,suero
836,IGD,IgD - Inmunoglobulina D,suero
837,IGEVA,IgE - Inmunoglobilina especifica abeja (Apis mellifera),suero
838,IGE,IgE - Inmunoglobulina E,suero
839,IGEABE,IgE - Inmunoglobulina especifica abedul (Betula verrucosa),suero
840,IGEBT,IgE - Inmunoglobulina especifica acaros - Blomia tropicalis,suero
841,IGEDF,IgE - Inmunoglobulina especifica acaros - D. farinae,suero
842,IGEDP,IgE - Inmunoglobulina especifica acaros - D. pteronyssinus,suero
843,IGEALAL,IgE - Inmunoglobulina especifica alfalactoalbumina,suero
844,IGEALME,IgE - Inmunoglobulina especifica almendra,suero
845,IGEALTE,IgE - Inmunoglobulina especifica Alternaria tenuis,suero
846,IGEAMA,IgE - Inmunoglobulina especifica amaranto (Amaranthus retrofle,suero
847,IGEAMB,IgE - Inmunoglobulina especifica Ambrosia comun (Ambrosia elat,suero
848,IGEAMOXI,IgE - Inmunoglobulina especifica Amoxicilina,suero
849,IGEAMPI,IgE - Inmunoglobulina especifica Ampicilina,suero
850,IGEAF,IgE - Inmunoglobulina especifica Aspergillus fumigatus,suero
851,IGEANI,IgE - Inmunoglobulina especifica Aspergillus niger,suero
852,IGEATU,IgE - Inmunoglobulina especifica atun,suero
853,IGEAA,IgE - Inmunoglobulina especifica avispa amarilla (Vespula sp.),suero
854,IGEBANA,IgE - Inmunoglobulina especifica banana,suero
855,IGEBLAC,IgE - Inmunoglobulina especifica betalactoglobulina,suero
856,IGECACAO,IgE - Inmunoglobulina especifica cacao,suero
857,IGECAMA,IgE - Inmunoglobulina especifica camaron,suero
858,IGECAA,IgE - Inmunoglobulina especifica Candida albicans,suero
859,IGERDO,IgE - Inmunoglobulina especifica carne de cerdo,suero
860,IGEPOL,IgE - Inmunoglobulina especifica carne de pollo,suero
861,IGEVAC,IgE - Inmunoglobulina especifica carne de vaca,suero
862,IGECASE,IgE - Inmunoglobulina especifica caseina,suero
863,IGECH,IgE - Inmunoglobulina especifica Cladosporium herbarum,suero
864,IGECHU,IgE - Inmunoglobulina especifica clara de huevo,suero
865,IGECUCA,IgE - Inmunoglobulina especifica cucaracha (Blatella germanica),suero
866,IGECYD,IgE - Inmunoglobulina especifica Cynodon dactylon (Cesped Berm,suero
867,IGEDG,IgE - Inmunoglobulina especifica Dactylis glomerata (Cesped de,suero
868,IGEDF,IgE - Inmunoglobulina especifica Dermatophagoides farinae,suero
869,IGEDP,IgE - Inmunoglobulina especifica Dermatophagoides pteronyssinus,suero
870,IGEDL,IgE - Inmunoglobulina especifica diente de leon (Taraxacum vul,suero
871,IGEGA,IgE - Inmunoglobulina especifica epitelio de gato,suero
872,IGEPE,IgE - Inmunoglobulina especifica epitelio de perro,suero
873,IGEFRE,IgE - Inmunoglobulina especifica fresno,suero
874,IGEGLU,IgE - Inmunoglobulina especifica gluten,suero
875,IGEHR,IgE - Inmunoglobulina especifica hormiga roja (Solenopsis invi,suero
876,IGEHU,IgE - Inmunoglobulina especifica huevo,suero
877,IGELX,IgE - Inmunoglobulina especifica latex,suero
878,IGELV,IgE - Inmunoglobulina especifica leche de vaca,suero
879,IGELP,IgE - Inmunoglobulina especifica Lolium perenne (Cesped perenn,suero
880,IGEMAIZ,IgE - Inmunoglobulina especifica maiz,suero
881,IGEMA,IgE - Inmunoglobulina especifica mani,suero
882,IGEMO,IgE - Inmunoglobulina especifica mosquito (Aedes communis),suero
883,IGENA,IgE - Inmunoglobulina especifica naranja,suero
884,IGENU,IgE - Inmunoglobulina especifica nuez,suero
885,IGEOLI,IgE - Inmunoglobulina especifica olivo (Olea europaea),suero
886,IGEOVOA,IgE - Inmunoglobulina especifica ovoalbumina,suero
887,IGEOVOM,IgE - Inmunoglobulina especifica ovomucoide,suero
888,IGEPA,"IgE - Inmunoglobulina especifica panel arboles (Olea europaea,",suero
889,IGEPC,"IgE - Inmunoglobulina especifica panel de cereales (trigo, ave",suero
890,IGEPH,IgE - Inmunoglobulina especifica panel de hierbas (Ambrosia el,suero
891,IGEPG,IgE - Inmunoglobulina especifica panel gramineas (Cynodon dact,suero
892,IGEHM,IgE - Inmunoglobulina especifica panel hongos y mohos (Penicil,suero
893,IGEPI,IgE - Inmunoglobulina especifica panel inhalantes (Dermatophago,suero
894,IGEPES,"IgE - Inmunoglobulina especifica panel pescados (bacalao, cama",suero
895,IGEPLU,"IgE - Inmunoglobulina especifica panel plumas (ganso, gallina,",suero
896,IGEPP,"IgE - Inmunoglobulina especifica panel polvo (Green Labs, Derm",suero
897,IGEPENIG,IgE - Inmunoglobulina especifica Penicilina G (inyectable),suero
898,IGEPENIV,IgE - Inmunoglobulina especifica Penicilina V (oral),suero
899,IGEPENIN,IgE - Inmunoglobulina especifica Penicillium notatum,suero
900,IGEPLAT,IgE - Inmunoglobulina especifica platano (Platanus acerifolia),suero
901,IGEPH,IgE - Inmunoglobulina especifica polen (Ambrosia el,suero
902,IGEPG,IgE - Inmunoglobulina especifica polen (Cynodon dact,suero
903,IGEPA,"IgE - Inmunoglobulina especifica polen (Olea europaea,",suero
904,IGEPO,IgE - Inmunoglobulina especifica polvo domestico (Green Labs.),suero
905,IGEQUI,IgE - Inmunoglobulina especifica quinoa (Chenopodium album),suero
906,IGESAL,IgE - Inmunoglobulina especifica salmon,suero
907,IGESOJ,IgE - Inmunoglobulina especifica soja,suero
908,IGETOM,IgE - Inmunoglobulina especifica tomate,suero
909,IGETRI,IgE - Inmunoglobulina especifica trigo,suero
910,IGEYH,IgE - Inmunoglobulina especifica yema de huevo,suero
911,IGECASE,IgE - Proteina de la leche - caseina,suero
912,IGEALAL,IgE - Proteina de la leche - lactoalbumina,suero
913,IGEBLAC,IgE - Proteina de la leche - lactoglobulina,suero
914,IGEPOA,IgE -Inmunoglobulina especifica Poa pratensis (Cesped de Juni,suero
915,IGFBP3,IGFBP3,suero
916,IGGS,IgG - Inmunoglobulina G Subclases,suero
917,IGGLCR,IgG - Inmunoglobulina G,LCR
918,IGG,IgG - Inmunoglobulina G,suero
919,IGG4,IgG4 - Inmunoglobulina G4,suero
920,IGLON5AC,IgLON5 Ac.,suero
921,IGM,IgM - Inmunoglobulina M,suero
922,QFTB,IGRA - Interferón Gamma release assay,suero
923,TAUBETA,Alzheimer (Tau/Beta en LCR),LCR
924,AMA,AMA - Mitocondria Ac.,suero
925,AMAM2,AMA-M2 - Mitocondria M2 Ac.,suero
926,IL2R,IL2-R - Interleuquina 2 Receptor,suero
927,LACPLA,Acido Lactico,plasma fluoruro
928,MAL24,Acido Malico,orina representativa de 24 h
929,MANFENIL,Acido Mandelico y Acido Fenilglioxilico,orina post jornada laboral
930,IMI,Imipramina - Desipramina,suero
931,INGLI,Indice de Glicina,suero y LCR
932,BANTHF,Bacillus anthracis,fistula
933,BANTHH,Bacillus anthracis,herida
934,IIGGLCR,Indice IgG LCR,suero y LCR
935,IINGLUD,Indice Insulina-Glucosa,Derivacion
936,17HPGEX,17-Hidroxi Progesterona con extracción,suero
937,AMIP,Amilasa pancreatica,suero
938,INFAG,Influenza A Ac.IgG,suero
939,INFAM,Influenza A Ac.IgM,suero
940,INFAAGAS,Influenza A Ag.,aspirado nasofaríngeo
941,INFAAGO,Influenza A Ag.,aspirado traqueal
942,INFAPCAN,Influenza A PCR,aspirado nasofaríngeo
943,INFAPCAT,Influenza A PCR,aspirado traqueal
944,INFAPCHN,Influenza A PCR,hisopado nasofaríngeo
945,INFAPCR,Influenza A PCR,lavado bronqueoalveolar
946,INFATIP,Influenza A Virus - Tipificacion,aspirado nasofaringeo
947,INFATIPA,Influenza A Virus - Tipificacion,aspirado traqueal
948,INFATIPH,Influenza A Virus - Tipificacion,hisopado nasofaringeo
949,INFATIPL,Influenza A Virus - Tipificacion,lavado broncoalveolar
950,INFBG,Influenza B Ac.IgG,suero
951,INFBM,Influenza B Ac.IgM,suero
952,INFBAGAN,Influenza B Ag.,aspirado nasofaríngeo
953,INFBAGOT,Influenza B Ag.,aspirado traqueal
954,INFBPCAN,Influenza B PCR,aspirado nasofaríngeo
955,INFBPAT,Influenza B PCR,aspirado traqueal
956,INFBPHN,Influenza B PCR,hisopado nasofaríngeo
957,INFBPCR,Influenza B PCR,lavado bronqueoalveolar
958,IFVIIICR,Inhibidor de Factor VIII- Cromogénico,plasma citrato
959,IFIX,Inhibidor Factor IX,plasma citrato
960,IFVIII,Inhibidor Factor VIII,plasma citrato
961,ALUP,Inhibidor Lupico,plasma citrato
962,INHB,Inhibina B,suero
963,IFG,Inmunofenotipo Citometria de Flujo,ganglio
964,IFL,Inmunofenotipo Citometria de Flujo,LCR
965,IFLA,Inmunofenotipo Citometria de Flujo,líquido ascítico
966,IFLP,Inmunofenotipo Citometria de Flujo,líquido pleural
967,IFM,Inmunofenotipo Citometria de Flujo,medula osea EDTA
968,IFMHS,Inmunofenotipo Citometria de Flujo,medula osea heparina de sodio
969,IFO,Inmunofenotipo Citometria de Flujo,otro material
970,IF,Inmunofenotipo Citometria de Flujo,sangre EDTA
971,IFSH,Inmunofenotipo Citometria de Flujo,sangre heparina de sodio
972,IFMC,Inmunofenotipo monocitos/macrofagos circulante,sangre EDTA
973,IFSL,Inmunofenotipo Subpoblaciones Linfocitarias Citometria de Flujo,sangre EDTA
974,INFILCR,Inmunofijacion,LCR
975,INFI24,Inmunofijacion,orina 24 h
976,INFIO,Inmunofijacion,orina
977,INFI,Inmunofijacion,suero
978,ALDOL,Aldolasa,suero
979,BANTHN,Bacillus anthracis,hisopado nasal
980,INSUCU,Insulina - Prueba con estímulo,suero
981,INSU120,Insulina 120 minutos,suero
982,INSU180,Insulina 180 minutos,suero
983,INSU30,Insulina 30 minutos,suero
984,INSU60,Insulina 60 minutos,suero
985,INSU90,Insulina 90 minutos,suero
986,INSUAC,Insulina Ac.,suero
987,CMYPCRAN,Chlamydia - Mycoplasma pneumoniae PCR,aspirado nasofaríngeo
988,INSU,Insulina,suero
989,IFNG,Interferon Gamma (IFN-G),suero
990,IL1,Interleuquina 1 Beta,suero
991,IL6,Interleuquina 6,suero
992,IL8,Interleuquina 8,plasma EDTA
993,ABI3500Q,Inyección ABI 3500-QF,producto de PCR
994,MYUCULHE,Mycoplasma - Ureaplasma cultivo,hisopado endocervical
995,CMYPCRAT,Chlamydia - Mycoplasma pneumoniae PCR,aspirado traqueal
996,IONO24,Ionograma,orina 24 h
997,IONOL,Ionograma,orina Litro
998,IONOO,Ionograma,orina
999,IONO,Ionograma,suero
1000,EABA,ITAEABA - Estado acido-base arterial,sangre heparina
1001,ITRA,Itraconazol,suero
1002,JAK2MO,JAK2 - mutacion V617F exon 14,medula osea
1003,JAK2,JAK2 - mutacion V617F exon 14,sangre EDTA
1004,JAK2e12M,JAK2 - mutaciones exon 12,medula osea EDTA
1005,JAK2e12S,JAK2 - mutaciones exon 12,sangre EDTA
1006,JO1,Jo-1 Ac.,suero
1007,KETA,Ketamina,orina
1008,ALDOS24,Aldosterona,orina 24 h
1009,ALDOSL,Aldosterona,orina Litro
1010,KPCPCR,Klebsiella pneumoniae carbapenemasa PCR,cepa bacteriana
1011,KPCPCRHR,Klebsiella pneumoniae carbapenemasa PCR,hisopado rectal
1012,LACOS,Lacosamida,suero
1013,CMYPCRHN,Chlamydia - Mycoplasma pneumoniae PCR,hisopado nasofaríngeo
1014,LPH,Lactogeno placentario humano,suero
1015,PTLACTO,Lactosa - Prueba de Tolerancia,suero
1016,LAMO,Lamotrigina,suero
1017,MVCUL,Lavado bronquial - cultivo germenes comunes,lavado bronquial
1018,LCRCUL,LCR - Liquido cefalorraquideo - cultivo,LCR
1019,LCRFQC,LCR - Liquido cefalorraquideo - fisicoquimico y citologico,LCR
1020,CMYPCRLB,Chlamydia - Mycoplasma pneumoniae PCR,lavado bronqueoalveolar
1021,LDHLP,LDH,liquido pericardico
1022,LDHLPU,LDH,líquido ascítico
1023,LDHLPL,LDH,líquido pleural
1024,LDHOT,LDH,otro material
1025,LDH,LDH,suero
1026,LEF08,Leflunomide - Teriflunomide,plasma EDTA
1027,LPG,Legionella pneumophila Ac.IgG,suero
1028,LPM,Legionella pneumophila Ac.IgM,suero
1029,CMYPCR,Chlamydia - Mycoplasma pneumoniae PCR,LCR
1030,CPNEG,Chlamydia pneumoniae Ac.IgG,suero
1031,LEPTI,Leptina,suero
1032,LEPTOG,Leptospira Ac.IgG,suero
1033,LEPTOM,Leptospira Ac.IgM,suero
1034,CPNEM,Chlamydia pneumoniae Ac.IgM,suero
1035,LEU,Leucina,sangre seca en papel filtro
1036,LEUCI,Leucinosis Confirmatorio,suero
1037,LEUCOMF,Leucocitos,materia fecal
1038,LEVRMF,Levaduras recuento,materia fecal
1039,LEVTI,Levaduras tipificacion,cepa levadura
1040,LEVE,Levetiracetam,suero
1041,LEVO,Levodopa,plasma heparina
1042,LH30,LH - Hormona Luteinizante 30 minutos,suero
1043,LH60,LH - Hormona Luteinizante 60 minutos,suero
1044,LH,LH - Hormona Luteinizante,suero
1045,LHRH,LH - Prueba de estímulo con GnRH- LHRH,suero
1046,AMINOR,Amitriptilina - Nortriptilina,suero
1047,LINDA,Lindane,suero
1048,LBNMEM,Linfocitos B naïve/memoria,sangre EDTA
1049,CD8,Linfocitos T,sangre EDTA
1050,CD4,Linfocitos T,sangre EDTA
1051,CD3,Linfocitos T,sangre EDTA
1052,LTRARO,Linfocitos T naïve/memoria,sangre EDTA
1053,LTTCR,"Linfocitos T TCR alfa-beta, TCR gamma-delta",sangre EDTA
1054,LTTCRDN,Linfocitos T TCR alfa/beta dobles negativos,sangre EDTA
1055,CPSIG,Chlamydia psitacci Ac.IgG,suero
1056,LIPA,Lipasa,suero
1057,LIPIE,Lipidograma electroforetico,suero
1058,LIPT,Lipidos totales,suero
1059,CPSIM,Chlamydia psitacci Ac.IgM,suero
1060,LPA,Lipoproteina a - Lpa,suero
1061,LPUCUL1,Liquido de puncion - cultivo - muestra 1,liquido de puncion
1062,LASCFQC,Liquido ascitico - fisicoquimico y citologico,liquido ascitico
1063,CTRAA,Chlamydia trachomatis Ac.IgA,suero
1064,LPUCUL2,Liquido de puncion - cultivo - muestra 2,liquido de puncion
1065,LPUFQC,Liquido de puncion - fisicoquimico y citologico,otro material
