codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
A50,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Sífilis congénita
A51,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Sífilis precoz
A52,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Sífilis tardía
A53,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras sífilis y las no especificadas
A54,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infección gonococica
A55,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Linfogranuloma (venéreo) por clamidias
A56,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras enfermedades de transmisión sexual debidas a clamidias
A57,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Chancro blando
A58,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Granuloma inguinal
A59,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tricomoniasis
A60,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infección anogenital debida a virus del herpes (herpes simple)
A63,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte"
A64,CAPITULO I,Infecciones con modo de transmisión predominantemente sexual,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Enfermedad de transmisión sexual no especificada
A65,CAPITULO I,Otras enfermedades debidas a espiroquetas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Sífilis no venérea
A66,CAPITULO I,Otras enfermedades debidas a espiroquetas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Frambesia
A67,CAPITULO I,Otras enfermedades debidas a espiroquetas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Pinta [carate]
A68,CAPITULO I,Otras enfermedades debidas a espiroquetas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebres recurrentes
A69,CAPITULO I,Otras enfermedades debidas a espiroquetas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras infecciones causadas por espiroquetas
A70,CAPITULO I,Otras enfermedades causadas por clamidias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infección debida a Chlamydia psittaci
A71,CAPITULO I,Otras enfermedades causadas por clamidias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tracoma
A74,CAPITULO I,Otras enfermedades causadas por clamidias,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras enfermedades causadas por clamidias
A75,CAPITULO I,Rickettsiosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tifus
A77,CAPITULO I,Rickettsiosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebre maculosa (rickettsiosis transmitida por garrapatas)
A78,CAPITULO I,Rickettsiosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebre Q
A79,CAPITULO I,Rickettsiosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras rickettsiosis
A80,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Poliomielitis aguda
A81,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infecciones del sistema nervioso central por virus lento
A82,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Rabia
A83,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Encefalitis viral transmitida por mosquitos
A84,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Encefalitis viral transmitida por garrapatas
A85,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras encefalitis virales, no clasificadas en otra parte"
A86,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Encefalitis viral, no especificada"
A87,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Meningitis viral
A88,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte"
A89,CAPITULO I,Infecciones virales del sistema nervioso central,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Infección viral del sistema nervioso central, no especificada"
A90,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebre del dengue [dengue clásico]
A91,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebre del dengue hemorrágico
A92,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras fiebres virales transmitidas por mosquitos
A93,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras fiebres virales transmitidas por artrópodos, no clasificadas en otra parte"
A94,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Fiebre viral transmitida por artrópodos, no especificada"
A95,CAPITULO I,Fiebres virales trasmitidas por artrópodos y fiebres virales hemorrágicas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebre amarilla
