codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
C00,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno del labio
C01,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la base de la lengua
C02,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de otras partes y de las no especificadas de la lengua
C03,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la encía
C04,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno del piso de la boca
C05,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno del paladar
C06,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de otras partes y de las no especificadas de la boca
C07,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la glándula parótida
C08,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de otras glándulas salivales mayores y de las no especificadas
C09,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la amígdala
C10,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la orofaringe
C11,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la nasofaringe
C12,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno del seno piriforme
C13,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),Tumor maligno de la hipofaringe
C14,CAPITULO II,Tumores malignos de labio de la cavidad bucal y de la faringe,TUMORES (NEOPLASIAS),"Tumor maligno de otros sitios y de los mal definidos del labio, de la cavidad bucal y de la faringe"
C15,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del esófago
C16,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del estomago
C17,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del intestino delgado
C18,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del colon
C19,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno de la unión rectosigmoidea
C20,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del recto
C21,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del ano y del conducto anal
C22,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del hígado y de las vias biliares intrahepaticas
C23,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno de la vesícula biliar
C24,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno de otras partes y de las no especificadas de las vias biliares
C25,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno del páncreas
C26,CAPITULO II,Tumores malignos de los órganos digestivos,TUMORES (NEOPLASIAS),Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos
C30,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno de las fosas nasales y del oído medio
C31,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno de los senos paranasales
C32,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno de la laringe
C33,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno de la traquea
C34,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno de los bronquios y del pulmón
C37,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno del timo
C38,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),"Tumor maligno del corazón, del mediastino y de la pleura"
C39,CAPITULO II,Tumores malignos de los órganos respiratorios e intratorácicos,TUMORES (NEOPLASIAS),Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los órganos intratorácicos
C40,CAPITULO II,Tumores malignos de los huesos y de los cartílagos articulares,TUMORES (NEOPLASIAS),Tumor maligno de los huesos y de los cartílagos articulares de los miembros
C41,CAPITULO II,Tumores malignos de los huesos y de los cartílagos articulares,TUMORES (NEOPLASIAS),"Tumor maligno de los huesos y de los cartílagos articulares, de otros sitios y de sitios no especificados"
C43,CAPITULO II,Melanoma y otros tumores malignos de la piel,TUMORES (NEOPLASIAS),Melanoma maligno de la piel
C44,CAPITULO II,Melanoma y otros tumores malignos de la piel,TUMORES (NEOPLASIAS),Otros tumores malignos de la piel
C45,CAPITULO II,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos,TUMORES (NEOPLASIAS),Mesotelioma
C46,CAPITULO II,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos,TUMORES (NEOPLASIAS),Sarcoma de Kaposi
C47,CAPITULO II,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos,TUMORES (NEOPLASIAS),Tumor maligno de los nervios periféricos y del sistema nervioso autónomo
C48,CAPITULO II,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos,TUMORES (NEOPLASIAS),Tumor maligno del peritoneo y del retroperitoneo
C49,CAPITULO II,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos,TUMORES (NEOPLASIAS),Tumor maligno de otros tejidos conjuntivos y de tejidos blandos
C50,CAPITULO II,Tumor maligno de mama,TUMORES (NEOPLASIAS),Tumor maligno de la mama
C51,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno de la vulva
C52,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno de la vagina
C53,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno del cuello del útero
C54,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno del cuerpo del útero
C55,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),"Tumor maligno del útero, parte no especificada"
C56,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno del ovario
C57,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno de otros órganos genitales femeninos y de los no especificados
C58,CAPITULO II,Tumores malignos de los órganos genitales femeninos,TUMORES (NEOPLASIAS),Tumor maligno de la placenta
C60,CAPITULO II,Tumores malignos de los órganos genitales masculinos,TUMORES (NEOPLASIAS),Tumor maligno del pene
C61,CAPITULO II,Tumores malignos de los órganos genitales masculinos,TUMORES (NEOPLASIAS),Tumor maligno de la próstata
C62,CAPITULO II,Tumores malignos de los órganos genitales masculinos,TUMORES (NEOPLASIAS),Tumor maligno del testículo
C63,CAPITULO II,Tumores malignos de los órganos genitales masculinos,TUMORES (NEOPLASIAS),Tumor maligno de otros órganos genitales masculinos y de los no especificados
C64,CAPITULO II,Tumores malignos de las vías urinarias,TUMORES (NEOPLASIAS),"Tumor maligno del riñon, excepto de la pelvis renal"
C65,CAPITULO II,Tumores malignos de las vías urinarias,TUMORES (NEOPLASIAS),Tumor maligno de la pelvis renal
C66,CAPITULO II,Tumores malignos de las vías urinarias,TUMORES (NEOPLASIAS),Tumor maligno del uréter
C67,CAPITULO II,Tumores malignos de las vías urinarias,TUMORES (NEOPLASIAS),Tumor maligno de la vejiga urinaria
C68,CAPITULO II,Tumores malignos de las vías urinarias,TUMORES (NEOPLASIAS),Tumor maligno de otros órganos urinarios y de los no especificados
C69,CAPITULO II,Tumores malignos del ojo del encéfalo y de otras partes del sistema nervioso,TUMORES (NEOPLASIAS),Tumor maligno del ojo y sus anexos
C70,CAPITULO II,Tumores malignos del ojo del encéfalo y de otras partes del sistema nervioso,TUMORES (NEOPLASIAS),Tumor maligno de las meninges
C71,CAPITULO II,Tumores malignos del ojo del encéfalo y de otras partes del sistema nervioso,TUMORES (NEOPLASIAS),Tumor maligno del encéfalo
C72,CAPITULO II,Tumores malignos del ojo del encéfalo y de otras partes del sistema nervioso,TUMORES (NEOPLASIAS),"Tumor maligno de la medula espinal, de los nervios craneales y de otras partes del sistema nervioso central"
C73,CAPITULO II,Tumores malignos de la glándula tiroides y de otras glándulas endocrinas,TUMORES (NEOPLASIAS),Tumor maligno de la glándula tiroides
C74,CAPITULO II,Tumores malignos de la glándula tiroides y de otras glándulas endocrinas,TUMORES (NEOPLASIAS),Tumor maligno de la glándula suprarrenal
C75,CAPITULO II,Tumores malignos de la glándula tiroides y de otras glándulas endocrinas,TUMORES (NEOPLASIAS),Tumor maligno de otras glándulas endocrinas y de estructuras afines
C76,CAPITULO II,Tumores malignos de sitios mal definidos secundarios y de sitios no especificados,TUMORES (NEOPLASIAS),Tumor maligno de otros sitios y de sitios mal definidos
C77,CAPITULO II,Tumores malignos de sitios mal definidos secundarios y de sitios no especificados,TUMORES (NEOPLASIAS),Tumor maligno secundario y el no especificado de los ganglios linfáticos
C78,CAPITULO II,Tumores malignos de sitios mal definidos secundarios y de sitios no especificados,TUMORES (NEOPLASIAS),Tumor maligno secundario de los órganos respiratorios y digestivos
C79,CAPITULO II,Tumores malignos de sitios mal definidos secundarios y de sitios no especificados,TUMORES (NEOPLASIAS),Tumor maligno secundario de otros sitios
C80,CAPITULO II,Tumores malignos de sitios mal definidos secundarios y de sitios no especificados,TUMORES (NEOPLASIAS),Tumor maligno de sitios no especificados
C81,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Enfermedad de Hodgkin
C82,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Linfoma no Hodgkin folicular [nodular]
C83,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Linfoma no Hodgkin difuso
C84,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),"Linfoma de células T, periférico y cutáneo"
C85,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Linfoma no Hodgkin de otro tipo y el no especificado
C88,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Enfermedades inmunoproliferativas malignas
C90,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Mieloma múltiple y tumores malignos de células plasmáticas
C91,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Leucemia linfoide
C92,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Leucemia mieloide
C93,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Leucemia monocitica
C94,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Otras leucemias de tipo celular especificado
C95,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),Leucemia de células de tipo no especificado
C96,CAPITULO II,"Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",TUMORES (NEOPLASIAS),"Otros tumores malignos y los no especificados del tejido linfático, de los órganos hematopoyéticos y de tejidos afines"
C97,CAPITULO II,Tumores malignos(primarios) de sitios múltiples independientes,TUMORES (NEOPLASIAS),Tumores malignos (primarios) de sitios múltiples independientes
D00,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),"Carcinoma in situ de la cavidad bucal, del esófago y del estomago"
D01,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ de otros órganos digestivos y de los no especificados
D02,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ del sistema respiratorio y del oído medio
D03,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Melanoma in situ
D04,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ de la piel
D05,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ de la mama
D06,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ del cuello del útero
D07,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ de otros órganos genitales y de los no especificados
D09,CAPITULO II,Tumores (neoplasias) in situ,TUMORES (NEOPLASIAS),Carcinoma in situ de otros sitios y de los no especificados
D10,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de la boca y de la faringe
D11,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de las glándulas salivales mayores
D12,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),"Tumor benigno del colon, del recto, del conducto anal y del ano"
D13,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de otras partes y de las mal definidas del sistema digestivo
D14,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno del oído medio y del sistema respiratorio
D15,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de otros órganos intratoracicos y de los no especificados
D16,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno del hueso y del cartílago articular
D17,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumores benignos lipomatosos
D18,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Hemangioma y linfangioma de cualquier sitio
D19,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumores benignos del tejido mesotelial
D20,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno del tejido blando del peritoneo y del retroperitoneo
D21,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Otros tumores benignos del tejido conjuntivo y de los tejidos blandos
D22,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Nevo melanocitico
D23,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Otros tumores benignos de la piel
D24,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de la mama
D25,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Leiomioma del útero
D26,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Otros tumores benignos del tuero
D27,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno del ovario
D28,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de otros órganos genitales femeninos y de los no especificados
D29,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de los órganos genitales masculinos
D30,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de los órganos urinarios
D31,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno del ojo y sus anexos
D32,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumores benignos de las meninges
D33,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno del encéfalo y de otras partes del sistema nervioso central
D34,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de la glándula tiroides
D35,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de otras glándulas endocrinas y de las no especificadas
D36,CAPITULO II,Tumores (neoplasias) benignos,TUMORES (NEOPLASIAS),Tumor benigno de otros sitios y de los no especificados
D37,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos
D38,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido del oído medio y de los órganos respiratorios e intratoracicos
D39,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de los órganos genitales femeninos
D40,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de los órganos genitales masculinos
D41,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de los órganos urinarios
D42,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de las meninges
D43,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central
D44,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de las glándulas endocrinas
D45,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Policitemia vera
D46,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Síndromes mielodisplasicos
D47,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),"Otros tumores de comportamiento incierto o desconocido del tejido linfático, de los órganos hematopoyeticos y de"
D48,CAPITULO II,Tumores (neoplasias) de comportamiento incierto o desconocido,TUMORES (NEOPLASIAS),Tumor de comportamiento incierto o desconocido de otros sitios y de los no especificados
D50,CAPITULO III,Anemias nutricionales,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemias por deficiencia de hierro
D51,CAPITULO III,Anemias nutricionales,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemia por deficiencia de vitamina B12
D52,CAPITULO III,Anemias nutricionales,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemia por deficiencia de folatos
D53,CAPITULO III,Anemias nutricionales,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otras anemias nutricionales
D55,CAPITULO III,Anemias hemolíticas,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemia debida a trastornos enzimáticos
D56,CAPITULO III,Anemias hemolíticas,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Talasemia
D57,CAPITULO III,Anemias hemolíticas,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Trastornos falciformes
D58,CAPITULO III,Anemias hemolíticas,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otras anemias hemoliticas hereditarias
D59,CAPITULO III,Anemias hemolíticas,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemia hemolitica adquirida
D60,CAPITULO III,Anemias aplásticas y otras anemias,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD","Aplasia adquirida, exclusiva de la serie roja [eritroblastopenia]"
D61,CAPITULO III,Anemias aplásticas y otras anemias,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otras anemias aplásticas
D62,CAPITULO III,Anemias aplásticas y otras anemias,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemia posthemorragica aguda
D63,CAPITULO III,Anemias aplásticas y otras anemias,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Anemia en enfermedades crónicas clasificadas en otra parte
D64,CAPITULO III,Anemias aplásticas y otras anemias,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otras anemias
D65,CAPITULO III,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Coagulación intravascular diseminada [síndrome de desfibrinacion]
D66,CAPITULO III,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Deficiencia hereditaria del factor VIII
D67,CAPITULO III,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Deficiencia hereditaria del factor IX
D68,CAPITULO III,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otros defectos de la coagulación
D69,CAPITULO III,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Púrpura y otras afecciones hemorrágicas
D70,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Agranulocitosis
D71,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Trastornos funcionales de los polimorfonucleares neutrofilos
D72,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otros trastornos de los leucocitos
D73,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Enfermedades del bazo
D74,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Metahemoglobinemia
D75,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otras enfermedades de la sangre y de los órganos hematopoyeticos
D76,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Ciertas enfermedades que afectan al tejido linforreticular y al sistema reticuloendotelial
D77,CAPITULO III,Otras enfermedades de la sangre y de los órganos hematopoyeticos,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Otros trastornos de la sangre y de los órganos hematopoyeticos en enfermedades clasificadas en otra parte
D80,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Inmunodeficiencia con predominio de defectos de los anticuerpos
D81,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Inmunodeficiencias combinadas
D82,CAPITULO III,Ciertos trastornos que afectan el mecanismo de la inmunidad,"ENFERMEDADES DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL
MECANISMO DE LA INMUNIDAD",Inmunodeficiencia asociada con otros defectos mayores
